Primary Interest,Secondary Interest,Tertiary Interest,Customer Number,Customer Name,Customer Type,Credit Rating,Annual Income,Account Status,MID
"Shopping","Tennis","Restaurants",100494446.000000,"FOAT, JED","RESIDENTIAL",448.000000,130150.000000,"ACTIVE","Sub_S736"
"Shopping","News","Gaming",100494998.000000,"LIES, VIDA","RESIDENTIAL",607.000000,5620.000000,"ACTIVE","Sub_S737"
"Restaurants","Stocks","Travel",100495964.000000,"BRIEGER, LUCAS","RESIDENTIAL",782.000000,123430.000000,"ACTIVE","Sub_S738"
"Restaurants","Shopping","Travel",100496010.000000,"HARVARD, AIDE","RESIDENTIAL",419.000000,70690.000000,"ACTIVE","Sub_S739"
"Shopping","News","Gaming",100496424.000000,"RAMONE, OTIS","RESIDENTIAL",442.000000,197960.000000,"ACTIVE","Sub_S740"
"Travel","Soccer","Restaurants",100497390.000000,"DEMUIZON, VERNETTA","RESIDENTIAL",594.000000,17920.000000,"ACTIVE","Sub_S741"
"Attractions","Soccer","Fun",100497988.000000,"BURTTS, JACQUES","RESIDENTIAL",789.000000,51450.000000,"ACTIVE","Sub_S742"
"Restaurants","Stocks","Travel",100498586.000000,"CATTELL, MALIA","RESIDENTIAL",598.000000,55350.000000,"ACTIVE","Sub_S743"
"News","Stocks","Travel",100501438.000000,"PONTI, ANITA","RESIDENTIAL",653.000000,139320.000000,"ACTIVE","Sub_S744"
"Shopping","Soccer","Tennis",100501990.000000,"TREDWELL, VELIA","RESIDENTIAL",810.000000,176330.000000,"ACTIVE","Sub_S745"
"Shopping","News","Gaming",100502082.000000,"ARCHIE, LEROY","RESIDENTIAL",494.000000,196230.000000,"ACTIVE","Sub_S746"
"Shopping","News","Gaming",100504520.000000,"BRUNELL, JENNA","RESIDENTIAL",526.000000,179360.000000,"ACTIVE","Sub_S747"
"Restaurants","Shopping","Travel",100506406.000000,"WONSIK, MILISSA","RESIDENTIAL",410.000000,196500.000000,"ACTIVE","Sub_S748"
"Shopping","Tennis","Restaurants",100506866.000000,"BLIMKA, MILA","RESIDENTIAL",474.000000,37490.000000,"ACTIVE","Sub_S749"
"News","Gaming","Stocks",100507464.000000,"BONGIOVANNI, LOUANN","RESIDENTIAL",673.000000,13710.000000,"ACTIVE","Sub_S750"
"Sports","News","Restaurants",100028068.000000,"HUEBNER, JUANITA","RESIDENTIAL",471.000000,197560.000000,"ACTIVE","Sub_S31"
"Restaurants","Stocks","Travel",100031288.000000,"CICCHETTI, SHONA","RESIDENTIAL",500.000000,25310.000000,"ACTIVE","Sub_S32"
"Restaurants","Shopping","Travel",100031426.000000,"POMERANTZ, LADONNA","RESIDENTIAL",640.000000,78260.000000,"ACTIVE","Sub_S33"
"Sports","News","Shopping",100031932.000000,"FELIBERTY, ALETHIA","RESIDENTIAL",747.000000,178840.000000,"ACTIVE","Sub_S34"
"News","Stocks","Travel",100032944.000000,"SHEAN, BLAIR","RESIDENTIAL",561.000000,147010.000000,"ACTIVE","Sub_S35"
"Research","Soccer","Tennis",100034830.000000,"LACAZE, JULIANNE","RESIDENTIAL",433.000000,75210.000000,"ACTIVE","Sub_S36"
"Sports","News","Restaurants",100039338.000000,"HULING, SHARON","RESIDENTIAL",539.000000,112690.000000,"ACTIVE","Sub_S37"
"Soccer","Travel","Research ",100040764.000000,"VANBOVEN, HELENA","RESIDENTIAL",776.000000,21500.000000,"ACTIVE","Sub_S38"
"Soccer","Travel","Research ",100043018.000000,"VAUDREUIL, CHANTAL","RESIDENTIAL",620.000000,191970.000000,"ACTIVE","Sub_S39"
"Gaming","Shopping","Restaurants",100043524.000000,"HOEKE, JONNIE","RESIDENTIAL",729.000000,5650.000000,"ACTIVE","Sub_S40"
"Soccer","Shopping","Restaurants",100044674.000000,"MCCORMACK, MELODIE","RESIDENTIAL",680.000000,149120.000000,"ACTIVE","Sub_S41"
"Sports","News","Restaurants",100045962.000000,"MAHANNA, MILLARD","RESIDENTIAL",776.000000,154870.000000,"ACTIVE","Sub_S42"
"Travel","Stocks","News",100046422.000000,"VIRGILE, ZETTA","RESIDENTIAL",430.000000,165480.000000,"ACTIVE","Sub_S43"
"Sports","News","Restaurants",100047112.000000,"QUIRINO, SHERRILL","RESIDENTIAL",714.000000,136170.000000,"ACTIVE","Sub_S44"
"Travel","Stocks","News",100048952.000000,"PATOUT, CELINA","RESIDENTIAL",569.000000,108870.000000,"ACTIVE","Sub_S45"
"Restaurants","Shopping","Travel",100049596.000000,"GOODPASTURE, JODEE","RESIDENTIAL",809.000000,13300.000000,"ACTIVE","Sub_S46"
"Restaurants","Shopping","Travel",100050608.000000,"MCCAULLEY, FREDRICKA","RESIDENTIAL",616.000000,172330.000000,"ACTIVE","Sub_S47"
"Shopping","News","Gaming",100051574.000000,"IIAMS, STEPHINE","RESIDENTIAL",786.000000,20770.000000,"ACTIVE","Sub_S48"
"Shopping","Tennis","Restaurants",100054288.000000,"FERRON, KENNETH","RESIDENTIAL",707.000000,144520.000000,"ACTIVE","Sub_S49"
"Soccer","Shopping","Restaurants",100054472.000000,"SELAN, DEDRA","RESIDENTIAL",487.000000,104410.000000,"ACTIVE","Sub_S50"
"Restaurants","Shopping","Travel",100055254.000000,"LUCK, SUSANNE","RESIDENTIAL",469.000000,8010.000000,"ACTIVE","Sub_S51"
"Restaurants","Shopping","Travel",100056818.000000,"STOTT, DONOVAN","RESIDENTIAL",434.000000,182170.000000,"ACTIVE","Sub_S52"
"Restaurants","Shopping","Travel",100056864.000000,"CORREIRO, FELIPE","RESIDENTIAL",476.000000,12560.000000,"ACTIVE","Sub_S53"
"Stocks","News","Sports ",100058152.000000,"MACIA, RHETT","RESIDENTIAL",558.000000,44530.000000,"ACTIVE","Sub_S54"
"Travel","Restaurants","Stocks",100058566.000000,"LIGHTFOOT, SHELLI","RESIDENTIAL",568.000000,122990.000000,"ACTIVE","Sub_S55"
"Sports","News","Shopping",100058750.000000,"SAGON, SHANELL","RESIDENTIAL",758.000000,105200.000000,"ACTIVE","Sub_S56"
"Shopping","Tennis","Restaurants",100059210.000000,"MCPECK, XAVIER","RESIDENTIAL",412.000000,69570.000000,"ACTIVE","Sub_S57"
"Sports","News","Restaurants",100059302.000000,"SHIMER, ANDREA","RESIDENTIAL",517.000000,168450.000000,"ACTIVE","Sub_S58"
"News","Gaming","Stocks",100061142.000000,"LERO, LAUNA","RESIDENTIAL",754.000000,11620.000000,"ACTIVE","Sub_S59"
"Attractions","Soccer","Fun",100062614.000000,"RODRIGUEZ, MIRANDA","RESIDENTIAL",621.000000,112030.000000,"ACTIVE","Sub_S60"
"Stocks","News","Sports ",100063580.000000,"DOEHRING, FILOMENA","RESIDENTIAL",791.000000,128710.000000,"ACTIVE","Sub_S61"
"Travel","Soccer","Restaurants",100508292.000000,"POHL, LUCRETIA","RESIDENTIAL",707.000000,26650.000000,"ACTIVE","Sub_S751"
"Travel","Soccer","Restaurants",100509258.000000,"WEGNER, JULIAN","RESIDENTIAL",465.000000,182270.000000,"ACTIVE","Sub_S752"
"Research","Soccer","Tennis",100509442.000000,"AROSEMENA, MUOI","RESIDENTIAL",648.000000,29210.000000,"ACTIVE","Sub_S753"
"Travel","Restaurants","Stocks",100510730.000000,"SCOLNIK, KENDALL","RESIDENTIAL",741.000000,4650.000000,"ACTIVE","Sub_S754"
"Soccer","Shopping","Restaurants",100510822.000000,"SCHOFFSTALL, AMIRA","RESIDENTIAL",434.000000,103430.000000,"ACTIVE","Sub_S755"
"News","Gaming","Stocks",100511788.000000,"PLACE, LEIGH","RESIDENTIAL",597.000000,57980.000000,"ACTIVE","Sub_S756"
"Stocks","News","Sports ",100512202.000000,"CATANESE, LISSETTE","RESIDENTIAL",609.000000,145420.000000,"ACTIVE","Sub_S757"
"Attractions","Soccer","Fun",100513122.000000,"BETHLEY, ILSE","RESIDENTIAL",731.000000,69280.000000,"ACTIVE","Sub_S758"
"Soccer","Shopping","Restaurants",100513306.000000,"TALIB, ADRIANE","RESIDENTIAL",513.000000,176800.000000,"ACTIVE","Sub_S759"
"News","Gaming","Stocks",100513720.000000,"STAINS, MAUDIE","RESIDENTIAL",524.000000,51700.000000,"ACTIVE","Sub_S760"
"Shopping","News","Gaming",100515192.000000,"GARRISON, LARRY","RESIDENTIAL",800.000000,55450.000000,"ACTIVE","Sub_S761"
"Shopping","Tennis","Restaurants",100515836.000000,"WINDLER, AUGUST","RESIDENTIAL",646.000000,179680.000000,"ACTIVE","Sub_S762"
"Restaurants","Stocks","Travel",100518320.000000,"GERVAIS, LUIS","RESIDENTIAL",730.000000,51000.000000,"ACTIVE","Sub_S763"
"Sports","News","Restaurants",100518872.000000,"MOONEYHAM, TINISHA","RESIDENTIAL",492.000000,107220.000000,"ACTIVE","Sub_S764"
"Research","Soccer","Tennis",100519608.000000,"CINTORA, ABRAHAM","RESIDENTIAL",416.000000,15140.000000,"ACTIVE","Sub_S765"
"Travel","Soccer","Shopping",100520298.000000,"SONTERRE, TAMEKIA","RESIDENTIAL",701.000000,164360.000000,"ACTIVE","Sub_S766"
"Travel","Soccer","Shopping",100520344.000000,"OBY, NILSA","RESIDENTIAL",745.000000,13690.000000,"ACTIVE","Sub_S767"
"Gaming","Shopping","Restaurants",100521770.000000,"KROVIOUS, IGNACIA","RESIDENTIAL",586.000000,177750.000000,"ACTIVE","Sub_S768"
"Shopping","News","Gaming",100523380.000000,"RUISE, PATRINA","RESIDENTIAL",583.000000,82640.000000,"ACTIVE","Sub_S769"
"Restaurants","Shopping","Travel",100524501.000000,"BAUGH, TREY","RESIDENTIAL",513.000000,114380.000000,"ACTIVE","Sub_S770"
"Sports","News","Restaurants",100527583.000000,"GROSHANS, JULIANN","RESIDENTIAL",792.000000,149240.000000,"ACTIVE","Sub_S771"
"Sports","News","Restaurants",100527675.000000,"SCHNABEL, SIMONA","RESIDENTIAL",482.000000,170000.000000,"ACTIVE","Sub_S772"
"Travel","Soccer","Shopping",100528687.000000,"MATEN, MICAH","RESIDENTIAL",698.000000,128960.000000,"ACTIVE","Sub_S773"
"News","Stocks","Travel",100528733.000000,"GODBOLT, MARLON","RESIDENTIAL",753.000000,128560.000000,"ACTIVE","Sub_S774"
"Soccer","Shopping","Restaurants",100530619.000000,"KNAPPERT, SALVATORE","RESIDENTIAL",621.000000,92670.000000,"ACTIVE","Sub_S775"
"News","Gaming","Stocks",100531907.000000,"BOUSLEY, LACEY","RESIDENTIAL",726.000000,16690.000000,"ACTIVE","Sub_S776"
"Travel","Stocks","News",100532735.000000,"FAULKNEN, KARYN","RESIDENTIAL",740.000000,182050.000000,"ACTIVE","Sub_S777"
"Research","Soccer","Tennis",100533149.000000,"BRISBONE, NICOLLE","RESIDENTIAL",770.000000,83140.000000,"ACTIVE","Sub_S778"
"Gaming","Shopping","Restaurants",100533839.000000,"DOSSETT, JOY","RESIDENTIAL",649.000000,78170.000000,"ACTIVE","Sub_S779"
"Restaurants","Stocks","Travel",100534575.000000,"BRILLIANT, GWENDA","RESIDENTIAL",577.000000,16410.000000,"ACTIVE","Sub_S780"
"Gaming","Shopping","Restaurants",100063810.000000,"HOWETH, LEEANNE","RESIDENTIAL",620.000000,114650.000000,"ACTIVE","Sub_S62"
"Soccer","Travel","Research ",100064362.000000,"DALFONSO, CARMELINA","RESIDENTIAL",767.000000,81910.000000,"ACTIVE","Sub_S63"
"Research","Soccer","Tennis",100064500.000000,"ROTNER, SHERISE","RESIDENTIAL",501.000000,34140.000000,"ACTIVE","Sub_S64"
"Travel","Soccer","Restaurants",100066173.000000,"COTTOM, LUCIA","RESIDENTIAL",581.000000,13030.000000,"ACTIVE","Sub_S65"
"Attractions","Soccer","Fun",100069301.000000,"DOTZLER, ALIX","RESIDENTIAL",517.000000,133680.000000,"ACTIVE","Sub_S66"
"Soccer","Shopping","Restaurants",100069761.000000,"BODRICK, ALVARO","RESIDENTIAL",566.000000,163070.000000,"ACTIVE","Sub_S67"
"Travel","Stocks","News",100072015.000000,"TORPEY, LEIF","RESIDENTIAL",424.000000,12980.000000,"ACTIVE","Sub_S68"
"Shopping","News","Gaming",100072889.000000,"BRENEMAN, ANTONE","RESIDENTIAL",492.000000,198820.000000,"ACTIVE","Sub_S69"
"Travel","Soccer","Shopping",100074315.000000,"DETZEL, CELESTE","RESIDENTIAL",736.000000,77650.000000,"ACTIVE","Sub_S70"
"Shopping","Tennis","Restaurants",100074361.000000,"QUIGGLE, EARTHA","RESIDENTIAL",762.000000,40640.000000,"ACTIVE","Sub_S71"
"Sports","News","Shopping",100074683.000000,"OKIN, KANDI","RESIDENTIAL",688.000000,116340.000000,"ACTIVE","Sub_S72"
"Restaurants","Shopping","Travel",100076615.000000,"CONVERSE, ALEJANDRO","RESIDENTIAL",628.000000,185520.000000,"ACTIVE","Sub_S73"
"Stocks","News","Sports ",100076753.000000,"JAAP, MAXIMA","RESIDENTIAL",774.000000,144800.000000,"ACTIVE","Sub_S74"
"Shopping","Soccer","Tennis",100077535.000000,"TEDDY, REMA","RESIDENTIAL",737.000000,58940.000000,"ACTIVE","Sub_S75"
"Shopping","News","Gaming",100077765.000000,"KLINKO, VIOLETA","RESIDENTIAL",572.000000,175920.000000,"ACTIVE","Sub_S76"
"Travel","Soccer","Restaurants",100080249.000000,"MOLONY, FAUSTINA","RESIDENTIAL",667.000000,119080.000000,"ACTIVE","Sub_S77"
"Stocks","News","Sports ",100081629.000000,"SENERCHIA, BILLI","RESIDENTIAL",448.000000,51040.000000,"ACTIVE","Sub_S78"
"Attractions","Soccer","Fun",100084573.000000,"HAGGBERG, SHAINA","RESIDENTIAL",581.000000,105670.000000,"ACTIVE","Sub_S79"
"Sports","News","Shopping",100084665.000000,"WRIGHTEN, CELESTINA","RESIDENTIAL",668.000000,38490.000000,"ACTIVE","Sub_S80"
"Travel","Restaurants","Stocks",100084711.000000,"HEUWINKEL, TARA","RESIDENTIAL",712.000000,59000.000000,"ACTIVE","Sub_S81"
"Sports","News","Restaurants",100085401.000000,"BARRICKMAN, MIKA","RESIDENTIAL",607.000000,121110.000000,"ACTIVE","Sub_S82"
"Restaurants","Stocks","Travel",100085677.000000,"CORDANO, GENNIE","RESIDENTIAL",485.000000,125570.000000,"ACTIVE","Sub_S83"
"Sports","News","Shopping",100086321.000000,"TEKULVE, MARILYN","RESIDENTIAL",732.000000,35270.000000,"ACTIVE","Sub_S84"
"Travel","Soccer","Shopping",100087333.000000,"FURBUSH, CORDELIA","RESIDENTIAL",545.000000,98540.000000,"ACTIVE","Sub_S85"
"News","Stocks","Travel",100087563.000000,"TWOMEY, LENA","RESIDENTIAL",783.000000,92760.000000,"ACTIVE","Sub_S86"
"Restaurants","Shopping","Travel",100088115.000000,"MADA, KRISTEN","RESIDENTIAL",517.000000,56360.000000,"ACTIVE","Sub_S87"
"Shopping","Soccer","Tennis",100088805.000000,"RIFFEL, TREASA","RESIDENTIAL",419.000000,170730.000000,"ACTIVE","Sub_S88"
"Gaming","Shopping","Restaurants",100089633.000000,"TAHA, DOMINGA","RESIDENTIAL",449.000000,84740.000000,"ACTIVE","Sub_S89"
"Shopping","News","Gaming",100089771.000000,"KILLMAN, BOB","RESIDENTIAL",576.000000,92550.000000,"ACTIVE","Sub_S90"
"Travel","Soccer","Shopping",100090185.000000,"MORLA, LACEY","RESIDENTIAL",603.000000,55710.000000,"ACTIVE","Sub_S91"
"Stocks","News","Sports ",100091657.000000,"DOMINE, MARQUETTA","RESIDENTIAL",469.000000,58410.000000,"ACTIVE","Sub_S92"
"Restaurants","Stocks","Travel",100534989.000000,"TINN, GILDA","RESIDENTIAL",609.000000,185850.000000,"ACTIVE","Sub_S781"
"Shopping","Tennis","Restaurants",100535265.000000,"CARRISON, QIANA","RESIDENTIAL",472.000000,3820.000000,"ACTIVE","Sub_S782"
"Shopping","News","Gaming",100536783.000000,"RUBIANO, CARA","RESIDENTIAL",783.000000,132790.000000,"ACTIVE","Sub_S783"
"Shopping","News","Gaming",100540463.000000,"BREITBARTH, REVA","RESIDENTIAL",481.000000,27410.000000,"ACTIVE","Sub_S784"
"Research","Soccer","Tennis",100540693.000000,"ARMER, EARTHA","RESIDENTIAL",706.000000,39170.000000,"ACTIVE","Sub_S785"
"Attractions","Soccer","Fun",100542579.000000,"CHRISS, KATHARINA","RESIDENTIAL",597.000000,85190.000000,"ACTIVE","Sub_S786"
"Travel","Restaurants","Stocks",100544603.000000,"KROMKA, LEILANI","RESIDENTIAL",606.000000,134160.000000,"ACTIVE","Sub_S787"
"Shopping","Soccer","Tennis",100544879.000000,"MURRILLO, SUSANNAH","RESIDENTIAL",485.000000,197860.000000,"ACTIVE","Sub_S788"
"Stocks","News","Sports ",100546443.000000,"GIEBNER, CONSUELA","RESIDENTIAL",451.000000,59550.000000,"ACTIVE","Sub_S789"
"News","Stocks","Travel",100550629.000000,"SAKUMOTO, ANNIE","RESIDENTIAL",634.000000,199010.000000,"ACTIVE","Sub_S790"
"Research","Soccer","Tennis",100551595.000000,"FENDT, ADELAIDA","RESIDENTIAL",798.000000,128810.000000,"ACTIVE","Sub_S791"
"Attractions","Soccer","Fun",100552285.000000,"DRALEAU, KYLE","RESIDENTIAL",690.000000,105660.000000,"ACTIVE","Sub_S792"
"Sports","News","Shopping",100552331.000000,"BLANCHETTE, FRAN","RESIDENTIAL",749.000000,50000.000000,"ACTIVE","Sub_S793"
"Soccer","Shopping","Restaurants",100554907.000000,"GARTLEY, MARCELLE","RESIDENTIAL",524.000000,81320.000000,"ACTIVE","Sub_S794"
"Attractions","Soccer","Fun",100556563.000000,"ESPARZA, ARLETTA","RESIDENTIAL",583.000000,60980.000000,"ACTIVE","Sub_S795"
"Soccer","Shopping","Restaurants",100556793.000000,"JANES, KIETH","RESIDENTIAL",797.000000,82160.000000,"ACTIVE","Sub_S796"
"Travel","Stocks","News",100557713.000000,"HAVERFIELD, EARLEEN","RESIDENTIAL",524.000000,54390.000000,"ACTIVE","Sub_S797"
"Attractions","Soccer","Fun",100557989.000000,"GUASTELLA, KASIE","RESIDENTIAL",808.000000,66170.000000,"ACTIVE","Sub_S798"
"Sports","News","Restaurants",100558725.000000,"MYRICKS, ROB","RESIDENTIAL",731.000000,177500.000000,"ACTIVE","Sub_S799"
"Shopping","Soccer","Tennis",100559231.000000,"DARNEL, MARYANNE","RESIDENTIAL",441.000000,138310.000000,"ACTIVE","Sub_S800"
"Stocks","News","Sports ",100559277.000000,"DEIBEL, MAPLE","RESIDENTIAL",485.000000,132910.000000,"ACTIVE","Sub_S801"
"Shopping","News","Gaming",100559645.000000,"BEQUETTE, FRANCENE","RESIDENTIAL",457.000000,17200.000000,"ACTIVE","Sub_S802"
"Soccer","Shopping","Restaurants",100560611.000000,"DEJACKOME, TYESHA","RESIDENTIAL",615.000000,10.000000,"ACTIVE","Sub_S803"
"Shopping","Tennis","Restaurants",100562221.000000,"BEAUFAIT, ZULEMA","RESIDENTIAL",634.000000,99640.000000,"ACTIVE","Sub_S804"
"Travel","Stocks","News",100562267.000000,"RIGHI, SALOME","RESIDENTIAL",684.000000,18530.000000,"ACTIVE","Sub_S805"
"Gaming","Shopping","Restaurants",100562589.000000,"CHITTICK, HILDEGARD","RESIDENTIAL",595.000000,123470.000000,"ACTIVE","Sub_S806"
"Shopping","Tennis","Restaurants",100563601.000000,"HATTON, MADGE","RESIDENTIAL",421.000000,198480.000000,"ACTIVE","Sub_S807"
"Travel","Soccer","Shopping",100564659.000000,"TUDOR, JANNIE","RESIDENTIAL",667.000000,56540.000000,"ACTIVE","Sub_S808"
"Attractions","Soccer","Fun",100565441.000000,"WEININGER, DARYL","RESIDENTIAL",661.000000,128270.000000,"ACTIVE","Sub_S809"
"Soccer","Travel","Research ",100568753.000000,"PEREIDA, GERTRUDE","RESIDENTIAL",759.000000,181530.000000,"ACTIVE","Sub_S810"
"Research","Soccer","Tennis",100569397.000000,"ZEMBOWER, CALISTA","RESIDENTIAL",601.000000,190250.000000,"ACTIVE","Sub_S811"
"Stocks","News","Sports ",100092117.000000,"HOBERT, MILLIE","RESIDENTIAL",529.000000,151850.000000,"ACTIVE","Sub_S93"
"Gaming","Shopping","Restaurants",100092715.000000,"VETTERKIND, DUNG","RESIDENTIAL",727.000000,8940.000000,"ACTIVE","Sub_S94"
"Restaurants","Shopping","Travel",100092991.000000,"WHITFILL, GEORGETTA","RESIDENTIAL",598.000000,51720.000000,"ACTIVE","Sub_S95"
"Shopping","Soccer","Tennis",100093313.000000,"BATTERSBY, JERI","RESIDENTIAL",521.000000,127710.000000,"ACTIVE","Sub_S96"
"Shopping","Tennis","Restaurants",100094233.000000,"FULLMER, CHARLENE","RESIDENTIAL",636.000000,185690.000000,"ACTIVE","Sub_S97"
"Travel","Soccer","Restaurants",100094325.000000,"FAT, RUBYE","RESIDENTIAL",742.000000,21030.000000,"ACTIVE","Sub_S98"
"Shopping","Soccer","Tennis",100094647.000000,"DELAHAY, JAN","RESIDENTIAL",654.000000,107550.000000,"ACTIVE","Sub_S99"
